vendor_name,po_count,phone,email,gstin,pan,is_msme,address,city,state
"Green Field",118,,,,,false,"",Chennai,Tamil Nadu
"Festa Solar",93,,,,,false,"",Chennai,Tamil Nadu
"Krishna Electricals",89,,,,,false,"",Chennai,Tamil Nadu
"KL Earthing",67,,,,,false,"",Chennai,Tamil Nadu
"Shankheswar Electricals",43,,,,,false,"",Chennai,Tamil Nadu
"Deekay Electricals",41,,,,,false,"",Chennai,Tamil Nadu
"Eco Power House",35,,,,,false,"",Chennai,Tamil Nadu
"Southern Power",25,,,,,false,"",Chennai,Tamil Nadu
"Rajesh Welder",23,,,,,false,"",Chennai,Tamil Nadu
"Lourduraj",21,,,,,false,"",Chennai,Tamil Nadu
"TNEB",21,,,,,false,"",Chennai,Tamil Nadu
"Namo Solar",19,,,,,false,"",Chennai,Tamil Nadu
"Thanigai Agencies",14,,,,,false,"",Chennai,Tamil Nadu
"Hive Solar",13,,,,,false,"",Chennai,Tamil Nadu
"Contendre",12,,,,,false,"",Chennai,Tamil Nadu
"Inspire Energy",11,,,,,false,"",Chennai,Tamil Nadu
"Mahaveer Electricals",11,,,,,false,"",Chennai,Tamil Nadu
"Sunlit Future",11,,,,,false,"",Chennai,Tamil Nadu
"Vashi",10,,,,,false,"",Chennai,Tamil Nadu
"Solstrom",9,,,,,false,"",Chennai,Tamil Nadu
"Sriram",8,,,,,false,"",Chennai,Tamil Nadu
"Sunjeyam",8,,,,,false,"",Chennai,Tamil Nadu
"Sunbridger",6,,,,,false,"",Chennai,Tamil Nadu
"Electrogen",5,,,,,false,"",Chennai,Tamil Nadu
"JKR Engineering",5,,,,,false,"",Chennai,Tamil Nadu
"Nextgen",5,,,,,false,"",Chennai,Tamil Nadu
"Sri Hari Enterprises",5,,,,,false,"",Chennai,Tamil Nadu
"Uno Power",5,,,,,false,"",Chennai,Tamil Nadu
"Whole Solar",5,,,,,false,"",Chennai,Tamil Nadu
"Burhani Hardware",4,,,,,false,"",Chennai,Tamil Nadu
"Chandrasekaran",4,,,,,false,"",Chennai,Tamil Nadu
"Kranich",4,,,,,false,"",Chennai,Tamil Nadu
"Meenakshi Electricals",4,,,,,false,"",Chennai,Tamil Nadu
"3S Solutions",3,,,,,false,"",Chennai,Tamil Nadu
"Devotional Energy",3,,,,,false,"",Chennai,Tamil Nadu
"Dhanalakshmi",3,,,,,false,"",Chennai,Tamil Nadu
"Esaar Power Controls",3,,,,,false,"",Chennai,Tamil Nadu
"MYK Enterprises",3,,,,,false,"",Chennai,Tamil Nadu
"Raju Electricals",3,,,,,false,"",Chennai,Tamil Nadu
"Saradha Engineering",3,,,,,false,"",Chennai,Tamil Nadu
"Siram",3,,,,,false,"",Chennai,Tamil Nadu
"Viridis",3,,,,,false,"",Chennai,Tamil Nadu
"CC Ramakrishnan",2,,,,,false,"",Chennai,Tamil Nadu
"Dharmaraj hardware",2,,,,,false,"",Chennai,Tamil Nadu
"Fakhri",2,,,,,false,"",Chennai,Tamil Nadu
"Jeevan Electricals",2,,,,,false,"",Chennai,Tamil Nadu
"Kalaivani",2,,,,,false,"",Chennai,Tamil Nadu
"Lune Tech",2,,,,,false,"",Chennai,Tamil Nadu
"Mamta Electricals",2,,,,,false,"",Chennai,Tamil Nadu
"Matrix",2,,,,,false,"",Chennai,Tamil Nadu
"Mufaddal",2,,,,,false,"",Chennai,Tamil Nadu
"NF Hardware",2,,,,,false,"",Chennai,Tamil Nadu
"Seeyon",2,,,,,false,"",Chennai,Tamil Nadu
"Semicon",2,,,,,false,"",Chennai,Tamil Nadu
"Switchgear Spares India",2,,,,,false,"",Chennai,Tamil Nadu
"VRM",2,,,,,false,"",Chennai,Tamil Nadu
"Aarav Fastener",1,,,,,false,"",Chennai,Tamil Nadu
"Balaji electricals",1,,,,,false,"",Chennai,Tamil Nadu
"Balmar Solar",1,,,,,false,"",Chennai,Tamil Nadu
"CEIG",1,,,,,false,"",Chennai,Tamil Nadu
"CMP Earth Solutions",1,,,,,false,"",Chennai,Tamil Nadu
"Creative Eco Solutions",1,,,,,false,"",Chennai,Tamil Nadu
"dhandapani steels",1,,,,,false,"",Chennai,Tamil Nadu
"Electromart",1,,,,,false,"",Chennai,Tamil Nadu
"Enpossibility",1,,,,,false,"",Chennai,Tamil Nadu
"Gemini",1,,,,,false,"",Chennai,Tamil Nadu
"Global Mobile",1,,,,,false,"",Chennai,Tamil Nadu
"K B enterprises",1,,,,,false,"",Chennai,Tamil Nadu
"kalaiyarasan",1,,,,,false,"",Chennai,Tamil Nadu
"KL earthings",1,,,,,false,"",Chennai,Tamil Nadu
"Lakshmi Engineering",1,,,,,false,"",Chennai,Tamil Nadu
"Minakshi Pipes & Tubes",1,,,,,false,"",Chennai,Tamil Nadu
"NFR",1,,,,,false,"",Chennai,Tamil Nadu
"NN Trading",1,,,,,false,"",Chennai,Tamil Nadu
